年齢,合計,男,女,赤池町,赤池町(男),赤池町(女),浅田町,浅田町(男),浅田町(女),梅森町,梅森町(男),梅森町(女),野方町,野方町(男),野方町(女),蟹甲町,蟹甲町(男),蟹甲町(女),折戸町,折戸町(男),折戸町(女),藤枝町,藤枝町(男),藤枝町(女),米野木町,米野木町(男),米野木町(女),三本木町,三本木町(男),三本木町(女),藤島町,藤島町(男),藤島町(女),本郷町,本郷町(男),本郷町(女),岩崎町,岩崎町(男),岩崎町(女),岩藤町,岩藤町(男),岩藤町(女),北新町,北新町(男),北新町(女),南ケ丘,南ケ丘(男),南ケ丘(女),五色園,五色園(男),五色園(女),梅森台,梅森台(男),梅森台(女),東山,東山(男),東山(女),香久山,香久山(男),香久山(女),赤池,赤池(男),赤池(女),岩崎台,岩崎台(男),岩崎台(女),栄,栄(男),栄(女),藤塚,藤塚(男),藤塚(女),赤池南,赤池南(男),赤池南(女),浅田平子,浅田平子(男),浅田平子(女),竹の山,竹の山(男),竹の山(女),米野木台,米野木台（男）,米野木台（女）
79,841,398,443,24,10,14,32,10,22,29,17,12,3,1,2,9,5,4,32,16,16,43,17,26,66,32,34,16,11,5,14,8,6,13,5,8,101,43,58,16,6,10,20,10,10,41,23,18,61,36,25,25,11,14,66,34,32,37,16,21,17,7,10,41,23,18,30,10,20,43,18,25,14,6,8,22,9,13,16,10,6,10,4,6
80,676,325,351,26,12,14,42,21,21,15,8,7,4,3,1,5,2,3,19,8,11,26,14,12,55,29,26,8,4,4,16,5,11,5,2,3,87,40,47,13,7,6,7,2,5,36,14,22,58,29,29,21,7,14,61,29,32,35,18,17,18,11,7,30,16,14,16,7,9,37,19,18,7,4,3,14,5,9,10,6,4,5,3,2
81,573,275,298,21,8,13,33,12,21,21,11,10,4,0,4,2,1,1,13,3,10,18,9,9,44,24,20,7,5,2,18,7,11,6,2,4,74,42,32,14,6,8,7,3,4,21,8,13,46,30,16,10,6,4,51,25,26,31,16,15,18,5,13,23,11,12,19,10,9,28,12,16,12,5,7,17,7,10,10,4,6,5,3,2
82,584,282,302,19,9,10,34,17,17,20,9,11,7,4,3,5,2,3,13,9,4,30,17,13,42,20,22,5,2,3,17,6,11,6,2,4,78,38,40,11,6,5,10,4,6,29,13,16,50,24,26,13,6,7,48,21,27,25,11,14,8,4,4,23,13,10,23,9,14,31,19,12,11,6,5,17,10,7,7,1,6,2,0,2
83,546,260,286,21,6,15,32,17,15,18,9,9,3,1,2,8,3,5,18,12,6,21,14,7,54,25,29,7,3,4,12,6,6,6,2,4,72,31,41,11,8,3,5,1,4,23,13,10,37,13,24,27,12,15,45,24,21,28,12,16,10,6,4,15,8,7,15,6,9,33,19,14,5,2,3,9,4,5,8,1,7,3,2,1
84,467,203,264,14,9,5,21,9,12,19,10,9,4,2,2,3,3,0,10,6,4,23,8,15,37,17,20,5,2,3,10,8,2,6,0,6,61,17,44,8,3,5,10,4,6,14,5,9,38,20,18,14,6,8,46,24,22,21,10,11,10,2,8,16,7,9,17,4,13,29,13,16,8,2,6,12,7,5,7,3,4,4,2,2
85,405,187,218,17,5,12,21,10,11,17,5,12,3,1,2,3,1,2,9,6,3,20,9,11,24,10,14,4,2,2,6,2,4,5,3,2,59,22,37,8,3,5,6,2,4,21,13,8,30,17,13,19,9,10,30,19,11,29,16,13,8,2,6,13,6,7,11,6,5,27,11,16,3,0,3,5,4,1,5,1,4,2,2,0
86,389,176,213,13,5,8,23,13,10,18,12,6,1,0,1,5,4,1,5,2,3,8,6,2,32,16,16,3,2,1,11,4,7,2,2,0,66,29,37,12,4,8,10,6,4,17,8,9,27,13,14,11,5,6,30,12,18,21,7,14,5,2,3,10,4,6,14,4,10,20,3,17,6,4,2,9,3,6,6,3,3,4,3,1
87,346,127,219,18,5,13,23,12,11,10,3,7,1,0,1,1,0,1,11,4,7,11,4,7,19,5,14,5,2,3,14,5,9,4,0,4,57,20,37,5,3,2,9,5,4,14,6,8,18,12,6,14,7,7,23,8,15,22,9,13,5,0,5,10,2,8,10,5,5,22,5,17,6,2,4,6,2,4,8,1,7,0,0,0
88,290,105,185,18,7,11,22,3,19,9,4,5,2,1,1,2,0,2,7,3,4,6,3,3,20,8,12,3,0,3,9,1,8,4,1,3,33,15,18,4,2,2,10,3,7,17,9,8,17,5,12,14,3,11,17,10,7,12,8,4,4,0,4,11,3,8,10,3,7,16,3,13,4,3,1,9,1,8,7,5,2,3,1,2
89,236,87,149,11,3,8,13,5,8,14,8,6,0,0,0,3,0,3,4,0,4,4,2,2,21,7,14,4,0,4,8,4,4,3,0,3,41,15,26,1,1,0,5,2,3,5,2,3,17,7,10,8,4,4,21,9,12,9,5,4,3,1,2,10,3,7,7,2,5,6,3,3,4,0,4,6,1,5,4,1,3,4,2,2
90,215,57,158,7,3,4,18,0,18,10,2,8,2,1,1,2,0,2,5,1,4,4,1,3,17,7,10,3,0,3,7,2,5,3,1,2,40,12,28,1,0,1,5,0,5,5,0,5,8,2,6,9,2,7,13,4,9,10,2,8,3,1,2,10,1,9,9,4,5,10,5,5,3,2,1,3,1,2,2,2,0,6,1,5
91,168,54,114,6,1,5,7,4,3,5,1,4,1,1,0,0,0,0,3,1,2,1,1,0,17,6,11,1,1,0,6,1,5,2,1,1,21,6,15,4,2,2,7,2,5,9,4,5,11,2,9,4,1,3,11,2,9,15,5,10,5,1,4,6,1,5,5,2,3,12,5,7,1,0,1,4,1,3,4,2,2,0,0,0
92,155,34,121,10,2,8,6,1,5,5,1,4,1,1,0,0,0,0,2,0,2,3,1,2,13,4,9,1,1,0,4,0,4,1,0,1,29,5,24,4,0,4,2,0,2,11,4,7,11,2,9,5,2,3,14,2,12,10,2,8,2,1,1,3,1,2,2,0,2,6,3,3,2,1,1,3,0,3,4,0,4,1,0,1
93,99,22,77,4,1,3,9,2,7,3,0,3,1,1,0,2,0,2,2,1,1,1,0,1,10,5,5,1,1,0,5,0,5,0,0,0,20,3,17,2,1,1,1,0,1,5,1,4,2,0,2,2,0,2,7,1,6,3,2,1,0,0,0,4,0,4,5,1,4,4,0,4,4,1,3,1,1,0,1,0,1,0,0,0
94,96,28,68,8,4,4,7,2,5,1,1,0,1,0,1,0,0,0,3,1,2,3,1,2,6,2,4,0,0,0,1,0,1,1,1,0,15,3,12,1,0,1,2,0,2,5,3,2,3,3,0,6,0,6,8,1,7,8,1,7,0,0,0,4,1,3,1,0,1,6,2,4,3,0,3,2,1,1,0,0,0,1,1,0
95,51,14,37,1,1,0,2,0,2,4,1,3,0,0,0,0,0,0,1,0,1,4,0,4,7,3,4,0,0,0,1,0,1,0,0,0,6,3,3,3,1,2,0,0,0,0,0,0,3,1,2,0,0,0,5,1,4,2,1,1,0,0,0,1,0,1,0,0,0,2,1,1,1,0,1,5,1,4,2,0,2,1,0,1
96,53,12,41,5,2,3,2,0,2,2,1,1,0,0,0,0,0,0,3,0,3,0,0,0,5,1,4,1,0,1,2,1,1,0,0,0,9,1,8,1,0,1,0,0,0,2,1,1,4,0,4,1,0,1,5,2,3,4,1,3,1,0,1,2,1,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
97,46,7,39,1,0,1,3,1,2,3,0,3,1,0,1,0,0,0,3,0,3,0,0,0,7,3,4,0,0,0,1,0,1,1,1,0,10,0,10,0,0,0,2,0,2,0,0,0,2,1,1,1,0,1,3,1,2,1,0,1,0,0,0,2,0,2,1,0,1,3,0,3,0,0,0,1,0,1,0,0,0,0,0,0
98,26,6,20,3,0,3,3,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,1,2,0,2,1,0,1,5,1,4,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
99,18,3,15,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,3,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,2,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0
100,25,4,21,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,1,2,0,2,1,1,0,2,0,2,0,0,0,1,0,1,1,0,1,2,0,2,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,1,0,1,1,0,1,0,0,0
