"全国地方公共団体コード","識別値","バス停名","バス停名（カナ）","緯度","経度","備考"
"23230","89","日生梅森園","ニッセイウメモリエン","35.13612724","137.0186995",""
"23230","90","東名古屋病院","ヒガシナゴヤビョウイン","35.13982284","137.0155659",""
"23230","91","梅森","ウメモリ","35.13379779","137.0146894",""
"23230","92","梅森台","ウメモリダイ","35.13636255","137.0108185",""
"23230","93","梅森台中","ウメモリダイナカ","35.13579873","137.0100086",""
"23230","94","梅森台西","ウメモリダイニシ","35.13402872","137.010633",""
"23230","95","梅森西","ウメモリニシ","35.1299","137.0119109",""
"23230","96","平針北","ヒラバリキタ","35.12487296","137.009051",""
"23230","97","西部福祉会館","セイブフクシカイカン","35.12467661","137.0141846",""
"23230","98","赤池駅北","アカイケエキキタ","35.12192048","137.0194928",""
"23230","99","生涯学習プラザ","ショウガイガクシュウプラザ","35.125202","137.0225308",""
"23230","100","浅田北","アサダキタ","35.12746151","137.023223",""
"23230","101","野方公民館","ノカタコウミンカン","35.13005321","137.0289183",""
"23230","102","本郷","ホンゴウ","35.13352123","137.0458586",""
"23230","103","岩藤東","イワフジヒガシ","35.1462846","137.0541674",""
"23230","104","七ツ塚","ナナツヅカ","35.14670931","137.0583613",""
"23230","105","夏焼","ナツヤケ","35.14700824","137.0629068",""
"23230","106","総合運動公園西","ソウゴウウンドウコウエンニシ","35.14860276","137.0663777",""
"23230","107","五色園","ゴシキエン","35.15118691","137.0661134",""
"23230","108","かえで台","カエデダイ","35.15296086","137.0614212",""
"23230","109","かえで台西","カエデダイニシ","35.15505478","137.056789",""
"23230","110","北新町","キタシンチョウ","35.1598801","137.0544659",""
"23230","111","愛知学院大東","アイチガクインダイヒガシ","35.16351489","137.0525971",""
"23230","112","口論義運動公園","コウロギウンドウコウエン","35.16635226","137.0507685",""
"23230","113","長久手古戦場駅","ナガクテコセンジョウエキ","35.1718358","137.0489301",""
"23230","114","愛知学院大東","アイチガクインダイヒガシ","35.16353447","137.0527119",""
"23230","115","北新町","キタシンチョウ","35.15917777","137.0545522",""
"23230","116","相野山福祉会館","アイノヤマフクシカイカン","35.15523523","137.0573573",""
"23230","117","つばき台","ツバキダイ","35.15783684","137.0600159",""
"23230","118","かえで台北","カエデダイキタ","35.15520579","137.0623102",""
"23230","119","かえで台","カエデダイ","35.15282057","137.0619103",""
"23230","120","五色園","ゴシキエン","35.15125751","137.0661298",""
"23230","121","五色園南","ゴシキエンミナミ","35.15122076","137.0712882",""
"23230","122","五色園東","ゴシキエンヒガシ","35.15185359","137.0689273",""
"23230","123","総合運動公園西","ソウゴウウンドウコウエンニシ","35.1487914","137.0664428",""
"23230","124","夏焼","ナツヤケ","35.1468873","137.0621069",""
"23230","125","七ツ塚","ナナツヅカ","35.14663477","137.0582713",""
"23230","126","岩藤東","イワフジヒガシ","35.14687227","137.0551546",""
"23230","127","藤島","フジシマ","35.14013355","137.0572262",""
"23230","128","宮西","ミヤニシ","35.13658867","137.060361",""
"23230","129","保健センター東","ホケンセンターヒガシ","35.13729423","137.042526",""
"23230","130","御岳口","オンタケグチ","35.14215233","137.0425233",""
"23230","131","六坊","ロクボウ","35.1476259","137.0401293",""
"23230","132","弁天池南","ベンテンイケミナミ","35.14858683","137.0389062",""
"23230","133","岩根","イワネ","35.14897598","137.0328857",""
"23230","134","芦廻間","ヨシハザマ","35.14825402","137.0305519",""
"23230","135","岩崎台東","イワサキダイヒガシ","35.14940437","137.0269921",""
"23230","136","岩崎台","イワサキダイ","35.1511767","137.0274507",""
"23230","137","けやき公園","ケヤキコウエン","35.15213636","137.0244808",""
"23230","138","岩崎台西","イワサキダイニシ","35.14939815","137.021398",""
"23230","139","岩崎台南","イワサキダイミナミ","35.14742804","137.0208779",""
"23230","140","石神","イシガミ","35.14667956","137.0251328",""
"23230","141","芦廻間","ヨシハザマ","35.14831627","137.0303528",""
"23230","142","岩根","イワネ","35.14907349","137.0328605",""
"23230","143","北部保育園","ホクブホイクエン","35.150621","137.0349953",""
"23230","144","障害者福祉センター","ショウガイシャフクシセンター","35.15200825","137.0345898",""
"23230","145","椙山女学園大","スギヤマジョガクエンダイ","35.15300006","137.0342843",""
