mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
52365787,23,23101,2021,04,0,0,8234
52365787,23,23101,2021,04,0,1,5180
52365787,23,23101,2021,04,0,2,6258
52365787,23,23101,2021,04,1,0,25771
52365787,23,23101,2021,04,1,1,6899
52365787,23,23101,2021,04,1,2,14289
52365787,23,23101,2021,04,2,0,20510
52365787,23,23101,2021,04,2,1,6384
52365787,23,23101,2021,04,2,2,11880
52365788,23,23101,2021,04,0,0,4313
52365788,23,23101,2021,04,0,1,954
52365788,23,23101,2021,04,0,2,1855
52365788,23,23101,2021,04,1,0,2090
52365788,23,23101,2021,04,1,1,936
52365788,23,23101,2021,04,1,2,1163
52365788,23,23101,2021,04,2,0,2757
52365788,23,23101,2021,04,2,1,942
52365788,23,23101,2021,04,2,2,1371
52365794,23,23101,2021,04,0,0,12116
52365794,23,23101,2021,04,0,1,11701
52365794,23,23101,2021,04,0,2,11783
52365794,23,23101,2021,04,1,0,13193
52365794,23,23101,2021,04,1,1,12328
52365794,23,23101,2021,04,1,2,12865
52365794,23,23101,2021,04,2,0,12870
52365794,23,23101,2021,04,2,1,12140
52365794,23,23101,2021,04,2,2,12541
52365795,23,23101,2021,04,0,0,12565
52365795,23,23101,2021,04,0,1,16262
52365795,23,23101,2021,04,0,2,14775
52365795,23,23101,2021,04,1,0,10150
52365795,23,23101,2021,04,1,1,15295
52365795,23,23101,2021,04,1,2,13101
52365795,23,23101,2021,04,2,0,10875
52365795,23,23101,2021,04,2,1,15585
52365795,23,23101,2021,04,2,2,13603
52365796,23,23101,2021,04,0,0,15164
52365796,23,23101,2021,04,0,1,16443
52365796,23,23101,2021,04,0,2,15951
52365796,23,23101,2021,04,1,0,14481
52365796,23,23101,2021,04,1,1,16376
52365796,23,23101,2021,04,1,2,15656
52365796,23,23101,2021,04,2,0,14686
52365796,23,23101,2021,04,2,1,16396
52365796,23,23101,2021,04,2,2,15745
52365797,23,23101,2021,04,0,0,19817
52365797,23,23101,2021,04,0,1,19547
52365797,23,23101,2021,04,0,2,19797
52365797,23,23101,2021,04,1,0,17202
52365797,23,23101,2021,04,1,1,18537
52365797,23,23101,2021,04,1,2,18538
52365797,23,23101,2021,04,2,0,17986
52365797,23,23101,2021,04,2,1,18840
52365797,23,23101,2021,04,2,2,18916
52365798,23,23101,2021,04,0,0,10276
52365798,23,23101,2021,04,0,1,5605
52365798,23,23101,2021,04,0,2,7298
52365798,23,23101,2021,04,1,0,12820
52365798,23,23101,2021,04,1,1,5678
52365798,23,23101,2021,04,1,2,8540
52365798,23,23101,2021,04,2,0,12057
52365798,23,23101,2021,04,2,1,5656
52365798,23,23101,2021,04,2,2,8167
52366704,23,23101,2021,04,0,0,25056
52366704,23,23101,2021,04,0,1,18280
52366704,23,23101,2021,04,0,2,21936
52366704,23,23101,2021,04,1,0,31646
52366704,23,23101,2021,04,1,1,20181
52366704,23,23101,2021,04,1,2,26672
