mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
52365787,23,23101,2021,12,0,0,8334
52365787,23,23101,2021,12,0,1,4982
52365787,23,23101,2021,12,0,2,6391
52365787,23,23101,2021,12,1,0,22596
52365787,23,23101,2021,12,1,1,7821
52365787,23,23101,2021,12,1,2,13388
52365787,23,23101,2021,12,2,0,18916
52365787,23,23101,2021,12,2,1,7089
52365787,23,23101,2021,12,2,2,11582
52365788,23,23101,2021,12,0,0,3281
52365788,23,23101,2021,12,0,1,1028
52365788,23,23101,2021,12,0,2,1544
52365788,23,23101,2021,12,1,0,1310
52365788,23,23101,2021,12,1,1,903
52365788,23,23101,2021,12,1,2,925
52365788,23,23101,2021,12,2,0,1819
52365788,23,23101,2021,12,2,1,935
52365788,23,23101,2021,12,2,2,1085
52365794,23,23101,2021,12,0,0,10429
52365794,23,23101,2021,12,0,1,10076
52365794,23,23101,2021,12,0,2,10124
52365794,23,23101,2021,12,1,0,11500
52365794,23,23101,2021,12,1,1,10039
52365794,23,23101,2021,12,1,2,10768
52365794,23,23101,2021,12,2,0,11223
52365794,23,23101,2021,12,2,1,10048
52365794,23,23101,2021,12,2,2,10602
52365795,23,23101,2021,12,0,0,12393
52365795,23,23101,2021,12,0,1,16053
52365795,23,23101,2021,12,0,2,14398
52365795,23,23101,2021,12,1,0,9492
52365795,23,23101,2021,12,1,1,15037
52365795,23,23101,2021,12,1,2,12442
52365795,23,23101,2021,12,2,0,10241
52365795,23,23101,2021,12,2,1,15299
52365795,23,23101,2021,12,2,2,12947
52365796,23,23101,2021,12,0,0,15528
52365796,23,23101,2021,12,0,1,17416
52365796,23,23101,2021,12,0,2,16387
52365796,23,23101,2021,12,1,0,14920
52365796,23,23101,2021,12,1,1,16991
52365796,23,23101,2021,12,1,2,15873
52365796,23,23101,2021,12,2,0,15077
52365796,23,23101,2021,12,2,1,17101
52365796,23,23101,2021,12,2,2,16006
52365797,23,23101,2021,12,0,0,19521
52365797,23,23101,2021,12,0,1,19563
52365797,23,23101,2021,12,0,2,19419
52365797,23,23101,2021,12,1,0,16908
52365797,23,23101,2021,12,1,1,18805
52365797,23,23101,2021,12,1,2,18424
52365797,23,23101,2021,12,2,0,17583
52365797,23,23101,2021,12,2,1,19000
52365797,23,23101,2021,12,2,2,18681
52365798,23,23101,2021,12,0,0,10614
52365798,23,23101,2021,12,0,1,5431
52365798,23,23101,2021,12,0,2,7490
52365798,23,23101,2021,12,1,0,13089
52365798,23,23101,2021,12,1,1,5409
52365798,23,23101,2021,12,1,2,8541
52365798,23,23101,2021,12,2,0,12450
52365798,23,23101,2021,12,2,1,5414
52365798,23,23101,2021,12,2,2,8270
52366704,23,23101,2021,12,0,0,27666
52366704,23,23101,2021,12,0,1,20087
52366704,23,23101,2021,12,0,2,24216
52366704,23,23101,2021,12,1,0,31708
52366704,23,23101,2021,12,1,1,20488
52366704,23,23101,2021,12,1,2,26995
52366704,23,23101,2021,12,2,0,30665
52366704,23,23101,2021,12,2,1,20384
52366704,23,23101,2021,12,2,2,26278
52366705,23,23101,2021,12,0,0,21289
52366705,23,23101,2021,12,0,1,17330
52366705,23,23101,2021,12,0,2,19678
52366705,23,23101,2021,12,1,0,22044
52366705,23,23101,2021,12,1,1,17016
52366705,23,23101,2021,12,1,2,19819
52366705,23,23101,2021,12,2,0,21849
52366705,23,23101,2021,12,2,1,17097
52366705,23,23101,2021,12,2,2,19783
52366706,23,23101,2021,12,0,0,7046
52366706,23,23101,2021,12,0,1,8610
52366706,23,23101,2021,12,0,2,7847
52366706,23,23101,2021,12,1,0,6911
52366706,23,23101,2021,12,1,1,8600
52366706,23,23101,2021,12,1,2,7658
52366706,23,23101,2021,12,2,0,6946
52366706,23,23101,2021,12,2,1,8602
52366706,23,23101,2021,12,2,2,7707
52366707,23,23101,2021,12,0,0,6082
52366707,23,23101,2021,12,0,1,8310
52366707,23,23101,2021,12,0,2,7385
52366707,23,23101,2021,12,1,0,5818
52366707,23,23101,2021,12,1,1,8514
52366707,23,23101,2021,12,1,2,7193
52366707,23,23101,2021,12,2,0,5886
52366707,23,23101,2021,12,2,1,8461
52366707,23,23101,2021,12,2,2,7243
52366708,23,23101,2021,12,0,0,1212
52366708,23,23101,2021,12,0,1,669
52366708,23,23101,2021,12,0,2,901
52366708,23,23101,2021,12,1,0,2762
52366708,23,23101,2021,12,1,1,967
52366708,23,23101,2021,12,1,2,1597
52366708,23,23101,2021,12,2,0,2362
52366708,23,23101,2021,12,2,1,890
52366708,23,23101,2021,12,2,2,1418
52366715,23,23101,2021,12,0,0,9268
52366715,23,23101,2021,12,0,1,9870
52366715,23,23101,2021,12,0,2,9534
52366715,23,23101,2021,12,1,0,9204
52366715,23,23101,2021,12,1,1,9795
52366715,23,23101,2021,12,1,2,9387
52366715,23,23101,2021,12,2,0,9221
52366715,23,23101,2021,12,2,1,9815
52366715,23,23101,2021,12,2,2,9424
52366716,23,23101,2021,12,0,0,7050
52366716,23,23101,2021,12,0,1,7921
52366716,23,23101,2021,12,0,2,7443
52366716,23,23101,2021,12,1,0,6193
52366716,23,23101,2021,12,1,1,7325
52366716,23,23101,2021,12,1,2,6849
52366716,23,23101,2021,12,2,0,6414
52366716,23,23101,2021,12,2,1,7479
52366716,23,23101,2021,12,2,2,7002
52366717,23,23101,2021,12,0,0,6031
52366717,23,23101,2021,12,0,1,7326
52366717,23,23101,2021,12,0,2,6731
52366717,23,23101,2021,12,1,0,7299
52366717,23,23101,2021,12,1,1,7142
52366717,23,23101,2021,12,1,2,7075
52366717,23,23101,2021,12,2,0,6972
52366717,23,23101,2021,12,2,1,7189
52366717,23,23101,2021,12,2,2,6987
52366727,23,23101,2021,12,0,0,9417
52366727,23,23101,2021,12,0,1,10482
52366727,23,23101,2021,12,0,2,9942
52366727,23,23101,2021,12,1,0,8347
52366727,23,23101,2021,12,1,1,10174
52366727,23,23101,2021,12,1,2,9278
52366727,23,23101,2021,12,2,0,8623
52366727,23,23101,2021,12,2,1,10253
52366727,23,23101,2021,12,2,2,9449
52366728,23,23101,2021,12,0,0,5740
52366728,23,23101,2021,12,0,1,6771
52366728,23,23101,2021,12,0,2,6240
52366728,23,23101,2021,12,1,0,5021
52366728,23,23101,2021,12,1,1,6611
52366728,23,23101,2021,12,1,2,5814
52366728,23,23101,2021,12,2,0,5206
52366728,23,23101,2021,12,2,1,6653
52366728,23,23101,2021,12,2,2,5924
52366703,23,23102,2021,12,0,0,22282
52366703,23,23102,2021,12,0,1,19548
52366703,23,23102,2021,12,0,2,21694
52366703,23,23102,2021,12,1,0,42973
52366703,23,23102,2021,12,1,1,20677
52366703,23,23102,2021,12,1,2,31675
52366703,23,23102,2021,12,2,0,37633
52366703,23,23102,2021,12,2,1,20385
52366703,23,23102,2021,12,2,2,29100
52366713,23,23102,2021,12,0,0,13460
52366713,23,23102,2021,12,0,1,12742
52366713,23,23102,2021,12,0,2,13166
52366713,23,23102,2021,12,1,0,15377
52366713,23,23102,2021,12,1,1,13140
52366713,23,23102,2021,12,1,2,14045
52366713,23,23102,2021,12,2,0,14882
52366713,23,23102,2021,12,2,1,13038
52366713,23,23102,2021,12,2,2,13818
52366714,23,23102,2021,12,0,0,8504
52366714,23,23102,2021,12,0,1,10444
52366714,23,23102,2021,12,0,2,9635
52366714,23,23102,2021,12,1,0,8870
52366714,23,23102,2021,12,1,1,10887
52366714,23,23102,2021,12,1,2,9748
52366714,23,23102,2021,12,2,0,8775
52366714,23,23102,2021,12,2,1,10773
52366714,23,23102,2021,12,2,2,9719
52366724,23,23102,2021,12,0,0,17944
52366724,23,23102,2021,12,0,1,17397
52366724,23,23102,2021,12,0,2,18126
52366724,23,23102,2021,12,1,0,17511
52366724,23,23102,2021,12,1,1,17475
52366724,23,23102,2021,12,1,2,18178
52366724,23,23102,2021,12,2,0,17623
52366724,23,23102,2021,12,2,1,17455
52366724,23,23102,2021,12,2,2,18165
52366725,23,23102,2021,12,0,0,17630
52366725,23,23102,2021,12,0,1,6974
52366725,23,23102,2021,12,0,2,12632
52366725,23,23102,2021,12,1,0,24960
52366725,23,23102,2021,12,1,1,7659
52366725,23,23102,2021,12,1,2,15022
52366725,23,23102,2021,12,2,0,23068
52366725,23,23102,2021,12,2,1,7483
52366725,23,23102,2021,12,2,2,14405
52366726,23,23102,2021,12,0,0,9595
52366726,23,23102,2021,12,0,1,8744
52366726,23,23102,2021,12,0,2,9135
52366726,23,23102,2021,12,1,0,10637
52366726,23,23102,2021,12,1,1,8791
52366726,23,23102,2021,12,1,2,9563
52366726,23,23102,2021,12,2,0,10368
52366726,23,23102,2021,12,2,1,8779
52366726,23,23102,2021,12,2,2,9453
52366735,23,23102,2021,12,0,0,10228
52366735,23,23102,2021,12,0,1,9585
52366735,23,23102,2021,12,0,2,9947
52366735,23,23102,2021,12,1,0,9485
52366735,23,23102,2021,12,1,1,10092
52366735,23,23102,2021,12,1,2,10072
52366735,23,23102,2021,12,2,0,9676
52366735,23,23102,2021,12,2,1,9961
52366735,23,23102,2021,12,2,2,10040
52366722,23,23103,2021,12,0,0,6265
52366722,23,23103,2021,12,0,1,5806
52366722,23,23103,2021,12,0,2,6002
52366722,23,23103,2021,12,1,0,9464
52366722,23,23103,2021,12,1,1,6137
52366722,23,23103,2021,12,1,2,7405
52366722,23,23103,2021,12,2,0,8638
52366722,23,23103,2021,12,2,1,6052
52366722,23,23103,2021,12,2,2,7043
52366723,23,23103,2021,12,0,0,8876
52366723,23,23103,2021,12,0,1,9416
52366723,23,23103,2021,12,0,2,9219
52366723,23,23103,2021,12,1,0,11316
52366723,23,23103,2021,12,1,1,10114
52366723,23,23103,2021,12,1,2,10481
52366723,23,23103,2021,12,2,0,10687
52366723,23,23103,2021,12,2,1,9933
52366723,23,23103,2021,12,2,2,10155
52366732,23,23103,2021,12,0,0,13071
52366732,23,23103,2021,12,0,1,12656
52366732,23,23103,2021,12,0,2,12771
52366732,23,23103,2021,12,1,0,13458
52366732,23,23103,2021,12,1,1,12478
52366732,23,23103,2021,12,1,2,13041
52366732,23,23103,2021,12,2,0,13358
52366732,23,23103,2021,12,2,1,12524
52366732,23,23103,2021,12,2,2,12971
52366733,23,23103,2021,12,0,0,14205
52366733,23,23103,2021,12,0,1,18446
52366733,23,23103,2021,12,0,2,16591
52366733,23,23103,2021,12,1,0,12776
52366733,23,23103,2021,12,1,1,17240
52366733,23,23103,2021,12,1,2,15210
52366733,23,23103,2021,12,2,0,13145
52366733,23,23103,2021,12,2,1,17551
52366733,23,23103,2021,12,2,2,15566
52366734,23,23103,2021,12,0,0,18382
52366734,23,23103,2021,12,0,1,20204
52366734,23,23103,2021,12,0,2,19912
52366734,23,23103,2021,12,1,0,17672
52366734,23,23103,2021,12,1,1,20904
52366734,23,23103,2021,12,1,2,19737
52366734,23,23103,2021,12,2,0,17855
52366734,23,23103,2021,12,2,1,20724
52366734,23,23103,2021,12,2,2,19782
52366742,23,23103,2021,12,0,0,12028
52366742,23,23103,2021,12,0,1,12238
52366742,23,23103,2021,12,0,2,12170
52366742,23,23103,2021,12,1,0,12714
52366742,23,23103,2021,12,1,1,12536
52366742,23,23103,2021,12,1,2,12614
52366742,23,23103,2021,12,2,0,12537
52366742,23,23103,2021,12,2,1,12459
52366742,23,23103,2021,12,2,2,12499
52366743,23,23103,2021,12,0,0,9224
52366743,23,23103,2021,12,0,1,10905
52366743,23,23103,2021,12,0,2,9842
52366743,23,23103,2021,12,1,0,8203
52366743,23,23103,2021,12,1,1,10579
52366743,23,23103,2021,12,1,2,9459
52366743,23,23103,2021,12,2,0,8466
52366743,23,23103,2021,12,2,1,10663
52366743,23,23103,2021,12,2,2,9558
52366744,23,23103,2021,12,0,0,11866
52366744,23,23103,2021,12,0,1,14017
52366744,23,23103,2021,12,0,2,13043
52366744,23,23103,2021,12,1,0,10328
52366744,23,23103,2021,12,1,1,13849
52366744,23,23103,2021,12,1,2,12217
52366744,23,23103,2021,12,2,0,10725
52366744,23,23103,2021,12,2,1,13893
52366744,23,23103,2021,12,2,2,12430
52366751,23,23103,2021,12,0,0,4133
52366751,23,23103,2021,12,0,1,4962
52366751,23,23103,2021,12,0,2,4552
52366751,23,23103,2021,12,1,0,3575
52366751,23,23103,2021,12,1,1,4904
52366751,23,23103,2021,12,1,2,4323
52366751,23,23103,2021,12,2,0,3719
52366751,23,23103,2021,12,2,1,4919
52366751,23,23103,2021,12,2,2,4382
52366752,23,23103,2021,12,0,0,8639
52366752,23,23103,2021,12,0,1,8428
52366752,23,23103,2021,12,0,2,8457
52366752,23,23103,2021,12,1,0,7005
52366752,23,23103,2021,12,1,1,8324
52366752,23,23103,2021,12,1,2,7668
52366752,23,23103,2021,12,2,0,7427
52366752,23,23103,2021,12,2,1,8351
52366752,23,23103,2021,12,2,2,7871
52366753,23,23103,2021,12,0,0,5115
52366753,23,23103,2021,12,0,1,5743
52366753,23,23103,2021,12,0,2,5527
52366753,23,23103,2021,12,1,0,5604
52366753,23,23103,2021,12,1,1,5787
52366753,23,23103,2021,12,1,2,5561
52366753,23,23103,2021,12,2,0,5478
52366753,23,23103,2021,12,2,1,5776
52366753,23,23103,2021,12,2,2,5552
52366763,23,23103,2021,12,0,0,3942
52366763,23,23103,2021,12,0,1,5573
52366763,23,23103,2021,12,0,2,4808
52366763,23,23103,2021,12,1,0,4000
52366763,23,23103,2021,12,1,1,5635
52366763,23,23103,2021,12,1,2,4907
52366763,23,23103,2021,12,2,0,3985
52366763,23,23103,2021,12,2,1,5619
52366763,23,23103,2021,12,2,2,4882
52366764,23,23103,2021,12,0,0,5165
52366764,23,23103,2021,12,0,1,5985
52366764,23,23103,2021,12,0,2,5742
52366764,23,23103,2021,12,1,0,3979
52366764,23,23103,2021,12,1,1,6063
52366764,23,23103,2021,12,1,2,5406
52366764,23,23103,2021,12,2,0,4285
52366764,23,23103,2021,12,2,1,6043
52366764,23,23103,2021,12,2,2,5493
52366772,23,23103,2021,12,0,0,6173
52366772,23,23103,2021,12,0,1,5333
52366772,23,23103,2021,12,0,2,5664
52366772,23,23103,2021,12,1,0,6096
52366772,23,23103,2021,12,1,1,5115
52366772,23,23103,2021,12,1,2,5573
52366772,23,23103,2021,12,2,0,6116
52366772,23,23103,2021,12,2,1,5171
52366772,23,23103,2021,12,2,2,5596
52366773,23,23103,2021,12,0,0,5748
52366773,23,23103,2021,12,0,1,6883
52366773,23,23103,2021,12,0,2,6352
52366773,23,23103,2021,12,1,0,5211
52366773,23,23103,2021,12,1,1,6729
52366773,23,23103,2021,12,1,2,6095
52366773,23,23103,2021,12,2,0,5350
52366773,23,23103,2021,12,2,1,6769
52366773,23,23103,2021,12,2,2,6161
52366782,23,23103,2021,12,0,0,4263
52366782,23,23103,2021,12,0,1,4135
52366782,23,23103,2021,12,0,2,4197
52366782,23,23103,2021,12,1,0,4439
52366782,23,23103,2021,12,1,1,4774
52366782,23,23103,2021,12,1,2,4618
52366782,23,23103,2021,12,2,0,4394
52366782,23,23103,2021,12,2,1,4609
52366782,23,23103,2021,12,2,2,4509
52366783,23,23103,2021,12,0,0,4965
52366783,23,23103,2021,12,0,1,5782
52366783,23,23103,2021,12,0,2,5450
52366783,23,23103,2021,12,1,0,4820
52366783,23,23103,2021,12,1,1,6227
52366783,23,23103,2021,12,1,2,5432
52366783,23,23103,2021,12,2,0,4857
52366783,23,23103,2021,12,2,1,6112
52366783,23,23103,2021,12,2,2,5437
52366629,23,23104,2021,12,0,0,8490
52366629,23,23104,2021,12,0,1,7823
52366629,23,23104,2021,12,0,2,8318
52366629,23,23104,2021,12,1,0,9408
52366629,23,23104,2021,12,1,1,8661
52366629,23,23104,2021,12,1,2,9304
52366629,23,23104,2021,12,2,0,9171
52366629,23,23104,2021,12,2,1,8445
52366629,23,23104,2021,12,2,2,9049
52366659,23,23104,2021,12,0,0,4934
52366659,23,23104,2021,12,0,1,5614
52366659,23,23104,2021,12,0,2,5235
52366659,23,23104,2021,12,1,0,5200
52366659,23,23104,2021,12,1,1,5665
52366659,23,23104,2021,12,1,2,5363
52366659,23,23104,2021,12,2,0,5132
52366659,23,23104,2021,12,2,1,5652
52366659,23,23104,2021,12,2,2,5330
52366669,23,23104,2021,12,0,0,5680
52366669,23,23104,2021,12,0,1,6545
52366669,23,23104,2021,12,0,2,6303
52366669,23,23104,2021,12,1,0,5452
52366669,23,23104,2021,12,1,1,6352
52366669,23,23104,2021,12,1,2,5941
52366669,23,23104,2021,12,2,0,5511
52366669,23,23104,2021,12,2,1,6402
52366669,23,23104,2021,12,2,2,6035
52366678,23,23104,2021,12,0,0,3498
52366678,23,23104,2021,12,0,1,2152
52366678,23,23104,2021,12,0,2,2767
52366678,23,23104,2021,12,1,0,5596
52366678,23,23104,2021,12,1,1,2791
52366678,23,23104,2021,12,1,2,4090
52366678,23,23104,2021,12,2,0,5054
52366678,23,23104,2021,12,2,1,2626
52366678,23,23104,2021,12,2,2,3749
52366679,23,23104,2021,12,0,0,5109
52366679,23,23104,2021,12,0,1,5865
52366679,23,23104,2021,12,0,2,5561
52366679,23,23104,2021,12,1,0,4070
52366679,23,23104,2021,12,1,1,5659
52366679,23,23104,2021,12,1,2,4983
52366679,23,23104,2021,12,2,0,4338
52366679,23,23104,2021,12,2,1,5712
52366679,23,23104,2021,12,2,2,5132
52366710,23,23104,2021,12,0,0,26220
52366710,23,23104,2021,12,0,1,16382
52366710,23,23104,2021,12,0,2,20508
52366710,23,23104,2021,12,1,0,34315
52366710,23,23104,2021,12,1,1,16654
52366710,23,23104,2021,12,1,2,24310
52366710,23,23104,2021,12,2,0,32226
52366710,23,23104,2021,12,2,1,16584
52366710,23,23104,2021,12,2,2,23329
52366711,23,23104,2021,12,0,0,12885
52366711,23,23104,2021,12,0,1,10996
52366711,23,23104,2021,12,0,2,11733
52366711,23,23104,2021,12,1,0,22810
52366711,23,23104,2021,12,1,1,12951
52366711,23,23104,2021,12,1,2,17001
52366711,23,23104,2021,12,2,0,20248
52366711,23,23104,2021,12,2,1,12447
52366711,23,23104,2021,12,2,2,15641
52366720,23,23104,2021,12,0,0,8587
52366720,23,23104,2021,12,0,1,8332
52366720,23,23104,2021,12,0,2,8580
52366720,23,23104,2021,12,1,0,10079
52366720,23,23104,2021,12,1,1,8658
52366720,23,23104,2021,12,1,2,9344
52366720,23,23104,2021,12,2,0,9694
52366720,23,23104,2021,12,2,1,8574
52366720,23,23104,2021,12,2,2,9147
52366721,23,23104,2021,12,0,0,9067
52366721,23,23104,2021,12,0,1,8611
52366721,23,23104,2021,12,0,2,8672
52366721,23,23104,2021,12,1,0,10202
52366721,23,23104,2021,12,1,1,7919
52366721,23,23104,2021,12,1,2,8925
52366721,23,23104,2021,12,2,0,9909
52366721,23,23104,2021,12,2,1,8098
52366721,23,23104,2021,12,2,2,8860
52366730,23,23104,2021,12,0,0,7137
52366730,23,23104,2021,12,0,1,7477
52366730,23,23104,2021,12,0,2,7341
52366730,23,23104,2021,12,1,0,7791
52366730,23,23104,2021,12,1,1,7569
52366730,23,23104,2021,12,1,2,7550
52366730,23,23104,2021,12,2,0,7622
52366730,23,23104,2021,12,2,1,7545
52366730,23,23104,2021,12,2,2,7496
52366731,23,23104,2021,12,0,0,14016
52366731,23,23104,2021,12,0,1,14127
52366731,23,23104,2021,12,0,2,14147
52366731,23,23104,2021,12,1,0,13528
52366731,23,23104,2021,12,1,1,14612
52366731,23,23104,2021,12,1,2,14267
52366731,23,23104,2021,12,2,0,13654
52366731,23,23104,2021,12,2,1,14487
52366731,23,23104,2021,12,2,2,14236
52366740,23,23104,2021,12,0,0,6004
52366740,23,23104,2021,12,0,1,6778
52366740,23,23104,2021,12,0,2,6508
52366740,23,23104,2021,12,1,0,5617
52366740,23,23104,2021,12,1,1,6849
52366740,23,23104,2021,12,1,2,6322
52366740,23,23104,2021,12,2,0,5717
52366740,23,23104,2021,12,2,1,6831
52366740,23,23104,2021,12,2,2,6370
52366741,23,23104,2021,12,0,0,10588
52366741,23,23104,2021,12,0,1,11094
52366741,23,23104,2021,12,0,2,10936
52366741,23,23104,2021,12,1,0,10412
52366741,23,23104,2021,12,1,1,11608
52366741,23,23104,2021,12,1,2,10945
52366741,23,23104,2021,12,2,0,10458
52366741,23,23104,2021,12,2,1,11476
52366741,23,23104,2021,12,2,2,10943
52366750,23,23104,2021,12,0,0,3478
52366750,23,23104,2021,12,0,1,3539
52366750,23,23104,2021,12,0,2,3459
52366750,23,23104,2021,12,1,0,2513
52366750,23,23104,2021,12,1,1,3424
52366750,23,23104,2021,12,1,2,3076
52366750,23,23104,2021,12,2,0,2762
52366750,23,23104,2021,12,2,1,3454
52366750,23,23104,2021,12,2,2,3175
52366760,23,23104,2021,12,0,0,19262
52366760,23,23104,2021,12,0,1,13553
52366760,23,23104,2021,12,0,2,16139
52366760,23,23104,2021,12,1,0,14009
52366760,23,23104,2021,12,1,1,12714
52366760,23,23104,2021,12,1,2,13667
52366760,23,23104,2021,12,2,0,15364
52366760,23,23104,2021,12,2,1,12930
52366760,23,23104,2021,12,2,2,14305
52366761,23,23104,2021,12,0,0,7858
52366761,23,23104,2021,12,0,1,10753
52366761,23,23104,2021,12,0,2,9350
52366761,23,23104,2021,12,1,0,6494
52366761,23,23104,2021,12,1,1,10479
52366761,23,23104,2021,12,1,2,8621
52366761,23,23104,2021,12,2,0,6846
52366761,23,23104,2021,12,2,1,10550
52366761,23,23104,2021,12,2,2,8810
52366762,23,23104,2021,12,0,0,2978
52366762,23,23104,2021,12,0,1,2674
52366762,23,23104,2021,12,0,2,2823
52366762,23,23104,2021,12,1,0,2706
52366762,23,23104,2021,12,1,1,2663
52366762,23,23104,2021,12,1,2,2809
52366762,23,23104,2021,12,2,0,2776
52366762,23,23104,2021,12,2,1,2666
52366762,23,23104,2021,12,2,2,2813
52366771,23,23104,2021,12,0,0,5043
52366771,23,23104,2021,12,0,1,6207
52366771,23,23104,2021,12,0,2,5812
52366771,23,23104,2021,12,1,0,5013
