mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
52365787,23,23101,2021,03,0,0,6900
52365787,23,23101,2021,03,0,1,4602
52365787,23,23101,2021,03,0,2,5493
52365787,23,23101,2021,03,1,0,17637
52365787,23,23101,2021,03,1,1,6134
52365787,23,23101,2021,03,1,2,10571
52365787,23,23101,2021,03,2,0,14866
52365787,23,23101,2021,03,2,1,5739
52365787,23,23101,2021,03,2,2,9260
52365788,23,23101,2021,03,0,0,3635
52365788,23,23101,2021,03,0,1,1021
52365788,23,23101,2021,03,0,2,1703
52365788,23,23101,2021,03,1,0,2252
52365788,23,23101,2021,03,1,1,825
52365788,23,23101,2021,03,1,2,1140
52365788,23,23101,2021,03,2,0,2609
52365788,23,23101,2021,03,2,1,875
52365788,23,23101,2021,03,2,2,1285
52365794,23,23101,2021,03,0,0,12034
52365794,23,23101,2021,03,0,1,11076
52365794,23,23101,2021,03,0,2,11409
52365794,23,23101,2021,03,1,0,12318
52365794,23,23101,2021,03,1,1,11331
52365794,23,23101,2021,03,1,2,11896
52365794,23,23101,2021,03,2,0,12245
52365794,23,23101,2021,03,2,1,11265
52365794,23,23101,2021,03,2,2,11771
52365795,23,23101,2021,03,0,0,11557
52365795,23,23101,2021,03,0,1,15456
52365795,23,23101,2021,03,0,2,13677
52365795,23,23101,2021,03,1,0,10053
52365795,23,23101,2021,03,1,1,15252
52365795,23,23101,2021,03,1,2,12801
52365795,23,23101,2021,03,2,0,10441
52365795,23,23101,2021,03,2,1,15305
52365795,23,23101,2021,03,2,2,13027
52365796,23,23101,2021,03,0,0,14956
52365796,23,23101,2021,03,0,1,15766
52365796,23,23101,2021,03,0,2,15592
52365796,23,23101,2021,03,1,0,14683
52365796,23,23101,2021,03,1,1,15610
52365796,23,23101,2021,03,1,2,15340
52365796,23,23101,2021,03,2,0,14753
52365796,23,23101,2021,03,2,1,15650
52365796,23,23101,2021,03,2,2,15405
52365797,23,23101,2021,03,0,0,18970
52365797,23,23101,2021,03,0,1,18247
52365797,23,23101,2021,03,0,2,18455
52365797,23,23101,2021,03,1,0,16786
52365797,23,23101,2021,03,1,1,17750
52365797,23,23101,2021,03,1,2,17699
52365797,23,23101,2021,03,2,0,17349
52365797,23,23101,2021,03,2,1,17878
52365797,23,23101,2021,03,2,2,17894
52365798,23,23101,2021,03,0,0,11019
52365798,23,23101,2021,03,0,1,5579
52365798,23,23101,2021,03,0,2,7644
52365798,23,23101,2021,03,1,0,9872
52365798,23,23101,2021,03,1,1,5527
52365798,23,23101,2021,03,1,2,7411
52365798,23,23101,2021,03,2,0,10168
52365798,23,23101,2021,03,2,1,5540
52365798,23,23101,2021,03,2,2,7471
52366704,23,23101,2021,03,0,0,24215
52366704,23,23101,2021,03,0,1,17408
52366704,23,23101,2021,03,0,2,21113
52366704,23,23101,2021,03,1,0,31173
52366704,23,23101,2021,03,1,1,19271
52366704,23,23101,2021,03,1,2,25669
52366704,23,23101,2021,03,2,0,29378
52366704,23,23101,2021,03,2,1,18791
52366704,23,23101,2021,03,2,2,24493
52366705,23,23101,2021,03,0,0,20907
52366705,23,23101,2021,03,0,1,17668
52366705,23,23101,2021,03,0,2,19394
52366705,23,23101,2021,03,1,0,25414
52366705,23,23101,2021,03,1,1,18952
52366705,23,23101,2021,03,1,2,22128
52366705,23,23101,2021,03,2,0,24251
52366705,23,23101,2021,03,2,1,18621
52366705,23,23101,2021,03,2,2,21423
52366706,23,23101,2021,03,0,0,6943
52366706,23,23101,2021,03,0,1,8042
52366706,23,23101,2021,03,0,2,7448
52366706,23,23101,2021,03,1,0,6316
52366706,23,23101,2021,03,1,1,8113
52366706,23,23101,2021,03,1,2,7151
52366706,23,23101,2021,03,2,0,6477
52366706,23,23101,2021,03,2,1,8095
52366706,23,23101,2021,03,2,2,7227
52366707,23,23101,2021,03,0,0,5873
52366707,23,23101,2021,03,0,1,7783
52366707,23,23101,2021,03,0,2,7026
52366707,23,23101,2021,03,1,0,5352
52366707,23,23101,2021,03,1,1,7674
52366707,23,23101,2021,03,1,2,6544
52366707,23,23101,2021,03,2,0,5486
52366707,23,23101,2021,03,2,1,7702
52366707,23,23101,2021,03,2,2,6668
52366708,23,23101,2021,03,0,0,1629
52366708,23,23101,2021,03,0,1,1038
52366708,23,23101,2021,03,0,2,1198
52366708,23,23101,2021,03,1,0,2188
52366708,23,23101,2021,03,1,1,1050
52366708,23,23101,2021,03,1,2,1508
52366708,23,23101,2021,03,2,0,2044
52366708,23,23101,2021,03,2,1,1047
52366708,23,23101,2021,03,2,2,1428
52366715,23,23101,2021,03,0,0,9681
52366715,23,23101,2021,03,0,1,10741
52366715,23,23101,2021,03,0,2,10222
52366715,23,23101,2021,03,1,0,8591
52366715,23,23101,2021,03,1,1,10620
52366715,23,23101,2021,03,1,2,9549
52366715,23,23101,2021,03,2,0,8872
52366715,23,23101,2021,03,2,1,10651
52366715,23,23101,2021,03,2,2,9723
52366716,23,23101,2021,03,0,0,7306
52366716,23,23101,2021,03,0,1,7801
52366716,23,23101,2021,03,0,2,7674
52366716,23,23101,2021,03,1,0,6332
52366716,23,23101,2021,03,1,1,7930
52366716,23,23101,2021,03,1,2,7208
52366716,23,23101,2021,03,2,0,6583
52366716,23,23101,2021,03,2,1,7896
52366716,23,23101,2021,03,2,2,7328
52366717,23,23101,2021,03,0,0,6300
52366717,23,23101,2021,03,0,1,7766
52366717,23,23101,2021,03,0,2,7087
52366717,23,23101,2021,03,1,0,6437
52366717,23,23101,2021,03,1,1,7171
52366717,23,23101,2021,03,1,2,6829
52366717,23,23101,2021,03,2,0,6402
52366717,23,23101,2021,03,2,1,7325
52366717,23,23101,2021,03,2,2,6895
52366727,23,23101,2021,03,0,0,10255
52366727,23,23101,2021,03,0,1,11100
