mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
52365787,23,23101,2021,11,0,0,9290
52365787,23,23101,2021,11,0,1,5794
52365787,23,23101,2021,11,0,2,7077
52365787,23,23101,2021,11,1,0,27741
52365787,23,23101,2021,11,1,1,8859
52365787,23,23101,2021,11,1,2,15989
52365787,23,23101,2021,11,2,0,21591
52365787,23,23101,2021,11,2,1,7837
52365787,23,23101,2021,11,2,2,13018
52365788,23,23101,2021,11,0,0,6279
52365788,23,23101,2021,11,0,1,1331
52365788,23,23101,2021,11,0,2,2525
52365788,23,23101,2021,11,1,0,1793
52365788,23,23101,2021,11,1,1,812
52365788,23,23101,2021,11,1,2,1075
52365788,23,23101,2021,11,2,0,3288
52365788,23,23101,2021,11,2,1,985
52365788,23,23101,2021,11,2,2,1558
52365794,23,23101,2021,11,0,0,11171
52365794,23,23101,2021,11,0,1,10031
52365794,23,23101,2021,11,0,2,10462
52365794,23,23101,2021,11,1,0,11896
52365794,23,23101,2021,11,1,1,10609
52365794,23,23101,2021,11,1,2,11144
52365794,23,23101,2021,11,2,0,11654
52365794,23,23101,2021,11,2,1,10416
52365794,23,23101,2021,11,2,2,10917
52365795,23,23101,2021,11,0,0,12174
52365795,23,23101,2021,11,0,1,15256
52365795,23,23101,2021,11,0,2,13912
52365795,23,23101,2021,11,1,0,9309
52365795,23,23101,2021,11,1,1,15140
52365795,23,23101,2021,11,1,2,12408
52365795,23,23101,2021,11,2,0,10264
52365795,23,23101,2021,11,2,1,15179
52365795,23,23101,2021,11,2,2,12909
52365796,23,23101,2021,11,0,0,15913
52365796,23,23101,2021,11,0,1,17663
52365796,23,23101,2021,11,0,2,17076
52365796,23,23101,2021,11,1,0,15689
52365796,23,23101,2021,11,1,1,17460
52365796,23,23101,2021,11,1,2,16575
52365796,23,23101,2021,11,2,0,15763
52365796,23,23101,2021,11,2,1,17528
52365796,23,23101,2021,11,2,2,16742
52365797,23,23101,2021,11,0,0,20503
52365797,23,23101,2021,11,0,1,20190
52365797,23,23101,2021,11,0,2,20681
52365797,23,23101,2021,11,1,0,17782
52365797,23,23101,2021,11,1,1,20595
52365797,23,23101,2021,11,1,2,20089
52365797,23,23101,2021,11,2,0,18689
52365797,23,23101,2021,11,2,1,20460
52365797,23,23101,2021,11,2,2,20286
52365798,23,23101,2021,11,0,0,12119
52365798,23,23101,2021,11,0,1,6106
52365798,23,23101,2021,11,0,2,8251
52365798,23,23101,2021,11,1,0,13254
52365798,23,23101,2021,11,1,1,5471
52365798,23,23101,2021,11,1,2,8763
52365798,23,23101,2021,11,2,0,12876
52365798,23,23101,2021,11,2,1,5683
52365798,23,23101,2021,11,2,2,8593
52366704,23,23101,2021,11,0,0,26707
52366704,23,23101,2021,11,0,1,19035
52366704,23,23101,2021,11,0,2,23007
52366704,23,23101,2021,11,1,0,31857
52366704,23,23101,2021,11,1,1,20559
52366704,23,23101,2021,11,1,2,27175
52366704,23,23101,2021,11,2,0,30140
52366704,23,23101,2021,11,2,1,20051
52366704,23,23101,2021,11,2,2,25786
52366705,23,23101,2021,11,0,0,19834
52366705,23,23101,2021,11,0,1,16785
52366705,23,23101,2021,11,0,2,18834
52366705,23,23101,2021,11,1,0,24122
52366705,23,23101,2021,11,1,1,17148
52366705,23,23101,2021,11,1,2,20925
52366705,23,23101,2021,11,2,0,22693
52366705,23,23101,2021,11,2,1,17027
52366705,23,23101,2021,11,2,2,20228
52366706,23,23101,2021,11,0,0,7316
52366706,23,23101,2021,11,0,1,8456
52366706,23,23101,2021,11,0,2,7803
52366706,23,23101,2021,11,1,0,6546
52366706,23,23101,2021,11,1,1,8528
