mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
52365787,23,23101,2021,07,0,0,9449
52365787,23,23101,2021,07,0,1,5034
52365787,23,23101,2021,07,0,2,6678
52365787,23,23101,2021,07,1,0,24294
52365787,23,23101,2021,07,1,1,6815
52365787,23,23101,2021,07,1,2,13735
52365787,23,23101,2021,07,2,0,19026
52365787,23,23101,2021,07,2,1,6183
52365787,23,23101,2021,07,2,2,11231
52365788,23,23101,2021,07,0,0,2099
52365788,23,23101,2021,07,0,1,908
52365788,23,23101,2021,07,0,2,1222
52365788,23,23101,2021,07,1,0,1071
52365788,23,23101,2021,07,1,1,825
52365788,23,23101,2021,07,1,2,864
52365788,23,23101,2021,07,2,0,1436
52365788,23,23101,2021,07,2,1,854
52365788,23,23101,2021,07,2,2,991
52365794,23,23101,2021,07,0,0,12027
52365794,23,23101,2021,07,0,1,11782
52365794,23,23101,2021,07,0,2,11676
52365794,23,23101,2021,07,1,0,12244
52365794,23,23101,2021,07,1,1,11741
52365794,23,23101,2021,07,1,2,12172
52365794,23,23101,2021,07,2,0,12167
52365794,23,23101,2021,07,2,1,11755
52365794,23,23101,2021,07,2,2,11996
52365795,23,23101,2021,07,0,0,11679
52365795,23,23101,2021,07,0,1,15493
52365795,23,23101,2021,07,0,2,13825
52365795,23,23101,2021,07,1,0,9520
52365795,23,23101,2021,07,1,1,15118
52365795,23,23101,2021,07,1,2,12669
52365795,23,23101,2021,07,2,0,10286
52365795,23,23101,2021,07,2,1,15251
52365795,23,23101,2021,07,2,2,13079
52365796,23,23101,2021,07,0,0,14347
52365796,23,23101,2021,07,0,1,15574
52365796,23,23101,2021,07,0,2,15169
52365796,23,23101,2021,07,1,0,14273
52365796,23,23101,2021,07,1,1,15955
52365796,23,23101,2021,07,1,2,15302
52365796,23,23101,2021,07,2,0,14299
52365796,23,23101,2021,07,2,1,15820
52365796,23,23101,2021,07,2,2,15255
52365797,23,23101,2021,07,0,0,19031
52365797,23,23101,2021,07,0,1,19143
52365797,23,23101,2021,07,0,2,19219
52365797,23,23101,2021,07,1,0,17932
52365797,23,23101,2021,07,1,1,19057
52365797,23,23101,2021,07,1,2,18931
52365797,23,23101,2021,07,2,0,18322
52365797,23,23101,2021,07,2,1,19087
52365797,23,23101,2021,07,2,2,19033
52365798,23,23101,2021,07,0,0,10513
52365798,23,23101,2021,07,0,1,4852
52365798,23,23101,2021,07,0,2,7051
52365798,23,23101,2021,07,1,0,12573
52365798,23,23101,2021,07,1,1,5043
52365798,23,23101,2021,07,1,2,7936
52365798,23,23101,2021,07,2,0,11842
52365798,23,23101,2021,07,2,1,4975
52365798,23,23101,2021,07,2,2,7622
52366704,23,23101,2021,07,0,0,25522
52366704,23,23101,2021,07,0,1,18571
52366704,23,23101,2021,07,0,2,22104
52366704,23,23101,2021,07,1,0,31894
52366704,23,23101,2021,07,1,1,20165
52366704,23,23101,2021,07,1,2,26815
52366704,23,23101,2021,07,2,0,29633
52366704,23,23101,2021,07,2,1,19599
52366704,23,23101,2021,07,2,2,25143
52366705,23,23101,2021,07,0,0,21241
52366705,23,23101,2021,07,0,1,17764
52366705,23,23101,2021,07,0,2,19721
52366705,23,23101,2021,07,1,0,23456
52366705,23,23101,2021,07,1,1,18671
52366705,23,23101,2021,07,1,2,21457
52366705,23,23101,2021,07,2,0,22670
52366705,23,23101,2021,07,2,1,18349
52366705,23,23101,2021,07,2,2,20841
52366706,23,23101,2021,07,0,0,7263
52366706,23,23101,2021,07,0,1,8269
52366706,23,23101,2021,07,0,2,7749
52366706,23,23101,2021,07,1,0,6565
52366706,23,23101,2021,07,1,1,8254
52366706,23,23101,2021,07,1,2,7386
52366706,23,23101,2021,07,2,0,6813
52366706,23,23101,2021,07,2,1,8259
52366706,23,23101,2021,07,2,2,7515
52366707,23,23101,2021,07,0,0,6448
52366707,23,23101,2021,07,0,1,8562
52366707,23,23101,2021,07,0,2,7761
52366707,23,23101,2021,07,1,0,5540
52366707,23,23101,2021,07,1,1,8486
52366707,23,23101,2021,07,1,2,7101
52366707,23,23101,2021,07,2,0,5862
52366707,23,23101,2021,07,2,1,8513
52366707,23,23101,2021,07,2,2,7335
52366708,23,23101,2021,07,0,0,1222
52366708,23,23101,2021,07,0,1,919
52366708,23,23101,2021,07,0,2,1038
52366708,23,23101,2021,07,1,0,2140
52366708,23,23101,2021,07,1,1,790
52366708,23,23101,2021,07,1,2,1384
52366708,23,23101,2021,07,2,0,1814
52366708,23,23101,2021,07,2,1,836
52366708,23,23101,2021,07,2,2,1261
52366715,23,23101,2021,07,0,0,9047
52366715,23,23101,2021,07,0,1,10083
52366715,23,23101,2021,07,0,2,9518
52366715,23,23101,2021,07,1,0,9245
52366715,23,23101,2021,07,1,1,10437
52366715,23,23101,2021,07,1,2,9677
52366715,23,23101,2021,07,2,0,9175
52366715,23,23101,2021,07,2,1,10312
52366715,23,23101,2021,07,2,2,9621
52366716,23,23101,2021,07,0,0,7685
52366716,23,23101,2021,07,0,1,8130
52366716,23,23101,2021,07,0,2,8048
52366716,23,23101,2021,07,1,0,5909
52366716,23,23101,2021,07,1,1,7711
52366716,23,23101,2021,07,1,2,6972
52366716,23,23101,2021,07,2,0,6539
52366716,23,23101,2021,07,2,1,7860
52366716,23,23101,2021,07,2,2,7354
52366717,23,23101,2021,07,0,0,5569
52366717,23,23101,2021,07,0,1,7072
52366717,23,23101,2021,07,0,2,6376
52366717,23,23101,2021,07,1,0,7092
52366717,23,23101,2021,07,1,1,6549
52366717,23,23101,2021,07,1,2,6716
52366717,23,23101,2021,07,2,0,6552
52366717,23,23101,2021,07,2,1,6734
52366717,23,23101,2021,07,2,2,6595
52366727,23,23101,2021,07,0,0,9443
52366727,23,23101,2021,07,0,1,9755
52366727,23,23101,2021,07,0,2,9595
52366727,23,23101,2021,07,1,0,8244
52366727,23,23101,2021,07,1,1,9864
52366727,23,23101,2021,07,1,2,9062
52366727,23,23101,2021,07,2,0,8669
52366727,23,23101,2021,07,2,1,9825
52366727,23,23101,2021,07,2,2,9251
52366728,23,23101,2021,07,0,0,6235
52366728,23,23101,2021,07,0,1,6940
52366728,23,23101,2021,07,0,2,6495
52366728,23,23101,2021,07,1,0,5303
52366728,23,23101,2021,07,1,1,7166
52366728,23,23101,2021,07,1,2,6299
52366728,23,23101,2021,07,2,0,5633
52366728,23,23101,2021,07,2,1,7086
52366728,23,23101,2021,07,2,2,6369
52366703,23,23102,2021,07,0,0,22659
52366703,23,23102,2021,07,0,1,16771
52366703,23,23102,2021,07,0,2,20119
52366703,23,23102,2021,07,1,0,47615
52366703,23,23102,2021,07,1,1,19286
52366703,23,23102,2021,07,1,2,32719
52366703,23,23102,2021,07,2,0,38760
52366703,23,23102,2021,07,2,1,18394
52366703,23,23102,2021,07,2,2,28248
52366713,23,23102,2021,07,0,0,12723
52366713,23,23102,2021,07,0,1,12389
52366713,23,23102,2021,07,0,2,12609
52366713,23,23102,2021,07,1,0,16096
52366713,23,23102,2021,07,1,1,13427
52366713,23,23102,2021,07,1,2,14416
52366713,23,23102,2021,07,2,0,14899
52366713,23,23102,2021,07,2,1,13058
52366713,23,23102,2021,07,2,2,13775
52366714,23,23102,2021,07,0,0,8855
52366714,23,23102,2021,07,0,1,10887
52366714,23,23102,2021,07,0,2,9805
52366714,23,23102,2021,07,1,0,8600
52366714,23,23102,2021,07,1,1,10612
52366714,23,23102,2021,07,1,2,9524
52366714,23,23102,2021,07,2,0,8691
52366714,23,23102,2021,07,2,1,10710
52366714,23,23102,2021,07,2,2,9624
52366724,23,23102,2021,07,0,0,17772
52366724,23,23102,2021,07,0,1,17370
52366724,23,23102,2021,07,0,2,18065
52366724,23,23102,2021,07,1,0,16851
52366724,23,23102,2021,07,1,1,18012
52366724,23,23102,2021,07,1,2,18031
52366724,23,23102,2021,07,2,0,17178
52366724,23,23102,2021,07,2,1,17784
52366724,23,23102,2021,07,2,2,18043
52366725,23,23102,2021,07,0,0,19702
52366725,23,23102,2021,07,0,1,7098
52366725,23,23102,2021,07,0,2,12253
52366725,23,23102,2021,07,1,0,28788
52366725,23,23102,2021,07,1,1,8551
52366725,23,23102,2021,07,1,2,17511
52366725,23,23102,2021,07,2,0,25564
52366725,23,23102,2021,07,2,1,8035
52366725,23,23102,2021,07,2,2,15645
52366726,23,23102,2021,07,0,0,9638
52366726,23,23102,2021,07,0,1,9001
52366726,23,23102,2021,07,0,2,9280
52366726,23,23102,2021,07,1,0,10672
52366726,23,23102,2021,07,1,1,9220
52366726,23,23102,2021,07,1,2,9846
52366726,23,23102,2021,07,2,0,10305
52366726,23,23102,2021,07,2,1,9142
52366726,23,23102,2021,07,2,2,9645
52366735,23,23102,2021,07,0,0,9988
52366735,23,23102,2021,07,0,1,9510
52366735,23,23102,2021,07,0,2,9683
52366735,23,23102,2021,07,1,0,9192
52366735,23,23102,2021,07,1,1,9752
52366735,23,23102,2021,07,1,2,9818
52366735,23,23102,2021,07,2,0,9474
52366735,23,23102,2021,07,2,1,9666
52366735,23,23102,2021,07,2,2,9770
52366722,23,23103,2021,07,0,0,6910
52366722,23,23103,2021,07,0,1,5562
52366722,23,23103,2021,07,0,2,6119
52366722,23,23103,2021,07,1,0,9594
52366722,23,23103,2021,07,1,1,6307
52366722,23,23103,2021,07,1,2,7580
52366722,23,23103,2021,07,2,0,8642
52366722,23,23103,2021,07,2,1,6043
52366722,23,23103,2021,07,2,2,7062
52366723,23,23103,2021,07,0,0,9359
52366723,23,23103,2021,07,0,1,10307
52366723,23,23103,2021,07,0,2,9846
52366723,23,23103,2021,07,1,0,12222
52366723,23,23103,2021,07,1,1,11295
52366723,23,23103,2021,07,1,2,11560
52366723,23,23103,2021,07,2,0,11206
52366723,23,23103,2021,07,2,1,10945
52366723,23,23103,2021,07,2,2,10952
52366732,23,23103,2021,07,0,0,12498
52366732,23,23103,2021,07,0,1,11705
52366732,23,23103,2021,07,0,2,12403
52366732,23,23103,2021,07,1,0,13679
52366732,23,23103,2021,07,1,1,12630
52366732,23,23103,2021,07,1,2,13279
52366732,23,23103,2021,07,2,0,13260
52366732,23,23103,2021,07,2,1,12302
52366732,23,23103,2021,07,2,2,12968
52366733,23,23103,2021,07,0,0,13847
52366733,23,23103,2021,07,0,1,18115
52366733,23,23103,2021,07,0,2,16320
52366733,23,23103,2021,07,1,0,12123
52366733,23,23103,2021,07,1,1,17424
52366733,23,23103,2021,07,1,2,15008
52366733,23,23103,2021,07,2,0,12735
52366733,23,23103,2021,07,2,1,17669
52366733,23,23103,2021,07,2,2,15473
52366734,23,23103,2021,07,0,0,18870
52366734,23,23103,2021,07,0,1,20985
52366734,23,23103,2021,07,0,2,20176
52366734,23,23103,2021,07,1,0,18524
52366734,23,23103,2021,07,1,1,22020
52366734,23,23103,2021,07,1,2,20816
52366734,23,23103,2021,07,2,0,18647
52366734,23,23103,2021,07,2,1,21653
52366734,23,23103,2021,07,2,2,20589
52366742,23,23103,2021,07,0,0,12161
52366742,23,23103,2021,07,0,1,12581
52366742,23,23103,2021,07,0,2,12483
52366742,23,23103,2021,07,1,0,12683
52366742,23,23103,2021,07,1,1,12131
52366742,23,23103,2021,07,1,2,12332
52366742,23,23103,2021,07,2,0,12498
52366742,23,23103,2021,07,2,1,12291
52366742,23,23103,2021,07,2,2,12386
52366743,23,23103,2021,07,0,0,9541
52366743,23,23103,2021,07,0,1,11728
52366743,23,23103,2021,07,0,2,10608
52366743,23,23103,2021,07,1,0,7646
52366743,23,23103,2021,07,1,1,10719
52366743,23,23103,2021,07,1,2,9291
52366743,23,23103,2021,07,2,0,8318
52366743,23,23103,2021,07,2,1,11077
52366743,23,23103,2021,07,2,2,9758
52366744,23,23103,2021,07,0,0,11054
52366744,23,23103,2021,07,0,1,13796
52366744,23,23103,2021,07,0,2,12646
52366744,23,23103,2021,07,1,0,10653
52366744,23,23103,2021,07,1,1,13936
52366744,23,23103,2021,07,1,2,12398
52366744,23,23103,2021,07,2,0,10795
52366744,23,23103,2021,07,2,1,13886
52366744,23,23103,2021,07,2,2,12486
52366751,23,23103,2021,07,0,0,4493
52366751,23,23103,2021,07,0,1,5610
52366751,23,23103,2021,07,0,2,5090
52366751,23,23103,2021,07,1,0,3403
52366751,23,23103,2021,07,1,1,5209
52366751,23,23103,2021,07,1,2,4404
52366751,23,23103,2021,07,2,0,3790
52366751,23,23103,2021,07,2,1,5351
52366751,23,23103,2021,07,2,2,4648
52366752,23,23103,2021,07,0,0,8498
52366752,23,23103,2021,07,0,1,8655
52366752,23,23103,2021,07,0,2,8633
