mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
52365787,23,23101,2021,08,0,0,7916
52365787,23,23101,2021,08,0,1,4855
52365787,23,23101,2021,08,0,2,6065
52365787,23,23101,2021,08,1,0,15967
52365787,23,23101,2021,08,1,1,5874
52365787,23,23101,2021,08,1,2,9822
52365787,23,23101,2021,08,2,0,13370
52365787,23,23101,2021,08,2,1,5546
52365787,23,23101,2021,08,2,2,8610
52365788,23,23101,2021,08,0,0,1614
52365788,23,23101,2021,08,0,1,803
52365788,23,23101,2021,08,0,2,1035
52365788,23,23101,2021,08,1,0,1164
52365788,23,23101,2021,08,1,1,880
52365788,23,23101,2021,08,1,2,915
52365788,23,23101,2021,08,2,0,1309
52365788,23,23101,2021,08,2,1,855
52365788,23,23101,2021,08,2,2,953
52365794,23,23101,2021,08,0,0,10616
52365794,23,23101,2021,08,0,1,11013
52365794,23,23101,2021,08,0,2,10793
52365794,23,23101,2021,08,1,0,11337
52365794,23,23101,2021,08,1,1,11615
52365794,23,23101,2021,08,1,2,11507
52365794,23,23101,2021,08,2,0,11105
52365794,23,23101,2021,08,2,1,11421
52365794,23,23101,2021,08,2,2,11277
52365795,23,23101,2021,08,0,0,12591
52365795,23,23101,2021,08,0,1,15748
52365795,23,23101,2021,08,0,2,14378
52365795,23,23101,2021,08,1,0,10831
52365795,23,23101,2021,08,1,1,15442
52365795,23,23101,2021,08,1,2,13487
52365795,23,23101,2021,08,2,0,11399
52365795,23,23101,2021,08,2,1,15541
52365795,23,23101,2021,08,2,2,13775
52365796,23,23101,2021,08,0,0,14779
52365796,23,23101,2021,08,0,1,15991
52365796,23,23101,2021,08,0,2,15372
52365796,23,23101,2021,08,1,0,13869
52365796,23,23101,2021,08,1,1,15762
52365796,23,23101,2021,08,1,2,14955
52365796,23,23101,2021,08,2,0,14163
52365796,23,23101,2021,08,2,1,15836
52365796,23,23101,2021,08,2,2,15089
52365797,23,23101,2021,08,0,0,19010
52365797,23,23101,2021,08,0,1,18530
52365797,23,23101,2021,08,0,2,18782
52365797,23,23101,2021,08,1,0,17612
52365797,23,23101,2021,08,1,1,18621
52365797,23,23101,2021,08,1,2,18451
52365797,23,23101,2021,08,2,0,18063
52365797,23,23101,2021,08,2,1,18592
52365797,23,23101,2021,08,2,2,18558
52365798,23,23101,2021,08,0,0,8917
52365798,23,23101,2021,08,0,1,4850
52365798,23,23101,2021,08,0,2,6302
52365798,23,23101,2021,08,1,0,8406
52365798,23,23101,2021,08,1,1,4600
52365798,23,23101,2021,08,1,2,6193
52365798,23,23101,2021,08,2,0,8570
52365798,23,23101,2021,08,2,1,4681
52365798,23,23101,2021,08,2,2,6228
52366704,23,23101,2021,08,0,0,23010
52366704,23,23101,2021,08,0,1,17105
52366704,23,23101,2021,08,0,2,20130
52366704,23,23101,2021,08,1,0,29509
52366704,23,23101,2021,08,1,1,18965
52366704,23,23101,2021,08,1,2,24781
52366704,23,23101,2021,08,2,0,27412
52366704,23,23101,2021,08,2,1,18365
52366704,23,23101,2021,08,2,2,23280
